Utt	Syll	Start	End
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	Jor	52:673	52:889
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	di	52:889	52:946
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	had	52:946	53:093
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	niet	53:093	53:268
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	ver	53:268	53:409
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	wacht	53:409	53:680
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	dat	53:680	53:807
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	Me	53:807	53:912
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	li	53:912	54:034
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	sa's	54:034	54:330
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	ou	54:330	54:502
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	ders	54:502	54:630
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	het	54:630	54:729
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	goed	54:729	54:922
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	zou	54:922	55:190
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	den	55:190	55:236
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	vin	55:236	55:465
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	den	55:465	55:580
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	dat	55:580	55:731
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	hij	55:731	55:811
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	mee	55:811	56:072
Jordi had niet verwacht dat Melissas ouders het goed zouden vinden dat ie meeging	ging	56:072	56:363
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	En 	78:662	78:759
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	dat 	78:759	78:841
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	Jor	78:841	79:101
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	di	79:101	79:176
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	van	79:176	79:398
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	plan	79:398	79:651
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	was	79:651	79:827
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	de	79:827	79:900
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	ar	79:900	80:047
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	che	80:047	80:190
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	o	80:190	80:282
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	lo	80:282	80:513
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	gen	80:513	80:671
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	daar	80:671	80:897
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	te	80:897	80:949
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	vra	80:949	81:280
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	gen	81:280	81:411
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	of	81:745	81:854
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	ze	81:854	81:969
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	moch	81:969	82:203
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	ten	82:203	82:304
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	hel	82:304	82:513
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	pen	82:513	82:617
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	bij	82:617	82:788
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	de	82:788	82:864
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	op	82:864	83:012
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	gra	83:012	83:294
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	vi	83:294	83:409
En dat Jordi van plan was de archeologen daar te vragen of ze mochten helpen bij de opgravingen	ngen	83:409	83:557
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	Hoe	31:908	31:974
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	wel	31:974	32:050
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	het	32:050	32:147
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	voor	32:147	32:274
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	hem	32:274	32:384
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	niet	32:384	32:589
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ma	32:589	32:720
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	kkel	32:720	32:840
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	ijk	32:840	32:972
Hoewel het voor hem niet makkelijk was deze dag te beleven zonder mama	was	32:972	33:271
